"ID","nwCongoID","tsID","SITE","CODE","FEAT","IND","VU","POTTERY","PROV","Xray","TYPE","BOX","FABRIC","SUBGRP","SurfSponges","NOTES","RIVER","GROUP","REFERENCE"
"320","","","Pikunda","PIK","87/1","-7:1 -8:4","","Pikunda-Munda","","x","","","","","","","Sangha","",""
"321","","","Pikunda","PIK","87/2","-1:156","","","","","","","","","","","Sangha","",""
"322","","","Pikunda","PIK","87/2","-1:327","","","","","","","","","","","Sangha","",""
"323","","","Pikunda","PIK","87/2","-5:4","","","","","","","","","","","Sangha","",""
"324","","","Pikunda","PIK","87/2","-5:11","","","","","","","","","","","Sangha","",""
"325","","","Pikunda","PIK","87/2","-5:118","","","","","","","","","","","Sangha","",""
"326","","","Bokele","BKE","81/2","-2:1 /3-1:1","","Bokele","","","","","","","","","Ruki","",""
"327","","","Bonkake","BON","81/1","/I:16","","","","","","","","","","","Momboyo","",""
"328","","","Bonkake","BON","81/1","/I:3","","","","","","","","","","","Momboyo","",""
"329","","","Bonkake","BON","81/1","/I:4","","","","","","","","","","","Momboyo","",""
"330","","","Boso-Njafo","BSN","85/1","20","","Imbonga","","","","","","","","","Lulonga","",""
"331","","","Boso-Njafo","BSN","85/1","21","","Imbonga","","","","","","","","","Lulonga","",""
"332","","","Boso-Njafo","BSN","85/1","22","","Imbonga","","","","","","","","","Lulonga","",""
"333","","","Boso-Njafo","BSN","85/1","23","","Imbonga","","","","","","","","","Lulonga","",""
"334","","","Boso-Njafo","BSN","85/1","25","","Imbonga","","","","","","","","","Lulonga","",""
"335","","","Boso-Njafo","BSN","85/1","26","","Imbonga","","","","","","","","","Lulonga","",""
"336","","","Boso-Njafo","BSN","85/1","-1:14","","Imbonga","","","","","","","","","Lulonga","",""
"337","","","Boso-Njafo","BSN","85/1","-1:18","","Imbonga","","","","","","","","","Lulonga","",""
"338","","","Boso-Njafo","BSN","85/1","-1:3","","Imbonga","","","","","","","","","Lulonga","",""
"339","","","Boso-Njafo","BSN","85/1","-1:5","","Imbonga","","","","","","","","","Lulonga","",""
"340","","","Boso-Njafo","BSN","85/1","-2:6","","Imbonga","","","","","","","","","Lulonga","",""
"341","","","Boso-Njafo","BSN","85/1","-2:12","","Imbonga","","","","","","","","","Lulonga","",""
"342","","","Boso-Njafo","BSN","85/1","-3:8","","Imbonga","","","","","","","","","Lulonga","",""
"343","","","Boso-Njafo","BSN","85/1","-4:11","","Imbonga","","","","","","","","","Lulonga","",""
"344","","","Boso-Njafo","BSN","85/1","-4:13","","Imbonga","","","","","","","","","Lulonga","",""
"345","","","Munda","MUN","87/2-1-3","-1:1a","","Pikunda-Munda","","","","","","","","","Likwala-aux-Herbes","",""
"346","","","Munda","MUN","87/1-0-1","1-4","","Pikunda-Munda (?)","","x","","","","","","","Likwala-aux-Herbes","",""
"347","","","Munda","MUN","87/1-0-2","-3:1","","Ebambe","","x","","","","","","","Likwala-aux-Herbes","",""
"348","","","Munda","MUN","87/1-0-2","-3:2","","Ebambe","","x","","","","","","","Likwala-aux-Herbes","",""
"349","","","Munda","MUN","87/2-1-3","-5:18","","Pikunda-Munda","","x","","","","","","","Likwala-aux-Herbes","",""
"350","","","Munda","MUN","87/2-1-3","-4:11","","Pikunda-Munda","","x","","","","","","","Likwala-aux-Herbes","",""
"351","","","Munda","MUN","87/2-1-3","-5:5","","Pikunda-Munda","","x","","","","","","","Likwala-aux-Herbes","",""
"352","","","Munda","MUN","87/2-1-3","-6:1-2","","Pikunda-Munda","","x","","","","","","","Likwala-aux-Herbes","",""
"359","","","Ikenge","IKE","","T1/0","","modern","","","clay sample","","","","","dried briquette","Ruki","",""
"360","","","Ikenge","IKE","","T2/0","","modern","","","clay sample","","","","","dried briquette","Ruki","",""
"361","","","Ikenge","IKE","","T3/1","","modern","","","clay sample","","","","","dried briquette","Ruki","",""
"362","","","Isaka-Elinga","ISK","","T5/0","6639","modern","","","clay sample","","","","","dried briquette","Salonga","",""
